heifer_101	heifer_103	heifer_107	heifer_108	heifer_111	heifer_113	heifer_114	heifer_115	heifer_116	heifer_117	heifer_119	heifer_120	heifer_121	heifer_92.	heifer_93.	heifer_94.	heifer_97.	heifer_99.
ENSBTAG00000013057	0	0	0	0	0	1	0	0	0	7	2	0	0	4	3	0	3	0
ENSBTAG00000045335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000046313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000039575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000006893	2	0	0	0	0	0	0	0	0	7	0	0	0	0	4	0	0	0
ENSBTAG00000003585	0	0	0	2	0	0	0	2	0	0	4	1	1	17	11	0	4	3
ENSBTAG00000049729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000005787	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
ENSBTAG00000018397	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
ENSBTAG00000018399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000055188	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSBTAG00000017140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000006158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000054027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000049130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000049108	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0
ENSBTAG00000050173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000044520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000020460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000038103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000022275	3	4	12	1	0	1	1	0	0	9	0	0	1	7	7	4	5	6
ENSBTAG00000051495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000055085	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ENSBTAG00000042390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000033360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000054558	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0
ENSBTAG00000013769	0	0	1	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000014441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSBTAG00000046637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000012646	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ENSBTAG00000001209	0	0	7	0	0	0	0	0	0	1	7	0	0	0	4	0	0	0
ENSBTAG00000004601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000004599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000015065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000016554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000048550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000019332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000033319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000011871	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000009084	5	1	0	1	3	0	0	0	7	3	0	0	0	3	1	0	0	0
ENSBTAG00000009085	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
